Date,AAPL,JPM,XOM,JNJ,WMT
2021-09-21,0.0034279307680782356,0.00013079975969931823,-0.0009312789770627994,0.004395065325104586,0.0019614006659083305
2021-09-22,0.016872774946773195,0.019152820039112672,0.029268994170098095,-0.003646634349299238,-0.0023070617008676964
2021-09-23,0.006719071030133472,0.033801569378780094,0.033870767491940734,0.00567309892587331,0.0005605111246731465
2021-09-24,0.0006126369203562909,0.011539715951395468,0.00893489519336077,-0.0030329207810414482,0.002801582955808346
2021-09-27,-0.010549750426107618,0.024165877481478804,0.029692717415857883,-0.007240285127925961,-0.006425928152512306
2021-09-28,-0.023801242530129718,-0.005389511087472099,0.010455158952572319,-0.002206045226292752,-0.012302332122115733
2021-09-29,0.006482852635952607,-0.0007830862531869043,-0.0006674100371399927,0.007432174377092204,-0.00042687104219740757
2021-09-30,-0.00931175224272418,-0.013618310715515669,-0.01770220115333032,-0.015364101686393905,-0.007547731863592033
2021-10-01,0.008126964078969179,0.021015217154532584,0.03587226666948995,-0.006377596887510273,-0.016716714048156445
2021-10-04,-0.024605580328257215,-0.0010769760036833942,0.012965644897933837,-0.00779005768303298,-0.009631744212135307
2021-10-05,0.014158832348878603,0.016330116081261004,-0.0016202324017169367,0.0022613247786251733,0.006557092181744162
2021-10-06,0.006307077862866217,0.002134468890350405,-0.018338117210309424,0.0020677735399310393,0.007319778999494764
2021-10-07,0.009084364015747637,0.006330682489491535,0.00281032743294074,0.008942520581029623,0.011771669083817216
2021-10-08,-0.0027218020272784527,0.0007644910722803822,0.025057809603689085,-0.0025414328591935043,0.0030160982230289513
2021-10-11,-0.0006297045150973624,-0.0210316289841187,-0.009971270879783667,-0.004225253836853238,-0.0009307552952736442
2021-10-12,-0.009103276691039275,-0.00768126286777604,-0.005198072110236485,-0.01597497119114033,-0.0010750765423415132
2021-10-13,-0.004239856106677431,-0.02636676724573428,-0.0027760582511300314,0.009575894168478039,-0.007246417981220721
2021-10-14,0.020225845037069146,0.015341580477772343,0.01522854087579284,0.005715902959255947,0.01084062927014795
2021-10-15,0.007512337289732329,0.01920847162586803,0.009516126182459228,0.007432472711620175,0.004861751720030449
2021-10-18,0.011806186585639367,-0.00036036262817740194,-0.0004790954747155851,-0.007315637080441362,0.00803961908196027
2021-10-19,0.015080022348997524,0.01212866972474691,0.015025247580468859,0.02341994896815347,0.02124515364521473
2021-10-20,0.0033611230763535005,0.013466241910659704,0.005511780868789673,-0.0005492624144547431,0.009053700989080316
2021-10-21,0.001474061640386104,-0.007843461977364963,-0.01816757498134458,-0.002320168215945162,0.005548046605961199
2021-10-22,-0.005284849925939694,0.013451069444341712,0.006859127405360432,0.001958550457907826,0.010421546221313083
2021-10-25,-0.0003364703565197358,-0.004889935672065193,0.019486767348670053,0.002198847957133321,0.011594989411392254
2021-10-26,0.0045750321480495515,0.002690820230583979,0.023154725888319794,0.01017775462351067,-0.008729952673753538
2021-10-27,-0.0031476749228351864,-0.02082807887093885,-0.02597217628292159,-0.01212645607872509,-0.008201591702240774
2021-10-28,0.02499164720483793,0.01507477679211533,0.002806748898925626,-0.005435477942949185,0.006236020626589678
2021-10-29,-0.018155626481596743,-0.002759004929987152,0.00248810917485498,0.00018434194558225592,0.006534172298920504
2021-11-01,-0.005607432715036942,-0.000529956129385778,0.017992786584499543,0.00085927801042196,0.0024763260231763784
2021-11-02,0.007115978252456356,0.003946004894013866,-0.012341939864634055,0.015765089946005784,-0.0004671697742457681
2021-11-03,0.009798251600072083,0.0003520011938396017,-0.013730082544587296,-0.003200735423213197,0.003072198120487757
2021-11-04,-0.0034983114110568314,-0.013135577802033671,0.007508053255793401,-0.0027869951846497543,0.007324701670954115
2021-11-05,0.0035824086109625952,-0.0014262438676825306,0.009470649279345045,-0.007108104501202583,-0.006941023007464686
2021-11-08,-0.005552743421206152,0.006010256129109104,0.010765787478516087,-0.0034266193723483385,-0.0063899315497122355
2021-11-09,0.002459802493092633,-0.007571107621953788,0.009738148876782926,-0.0022103239948455533,0.0034834958752543166
2021-11-10,-0.019163390782625078,-0.0009537876073791862,-0.019700270338786185,0.010830158090596287,-0.009012619114466047
